Service Code,Price
$8.00,0000498
$5.24,0000799
$0.00,0000871
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.24,0000799
$8.00,0003259
$12.50,0006447
$19.25,0090849
$19.85,0000871
$5.65,0005463
$30.00,0011363
$35.75,0090801
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
$135.00,0016185
$35.75,0090801
$7.25,0091431
$98.81,0091432
$5.24,0000799
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0090801
$7.25,0091431
$14.80,0000367
$5.24,0000799
$8.00,0003259
$9.80,0004021
$5.65,0005463
$12.50,0006447
$30.00,0011363
$16.80,0018944
$21.82,0019894
$35.75,0090801
$7.25,0091431
$5.24,0000799
$12.50,0006447
$19.25,0090849
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.24,0000799
$8.00,0003259
$12.50,0006447
$19.25,0090849
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0019550
$7.25,0091431
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0090801
$7.25,0091431
$8.00,0000498
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0090801
$7.25,0091431
$25.66,0000334
$51.11,0000496
$41.91,0000608
$25.66,0000896
$8.00,0003259
$8.00,0000498
$100.31,0000512
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.24,0000799
$8.00,0003259
$12.50,0006447
$19.25,0090849
$8.00,0000498
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.65,0005463
$30.00,0011363
